Summary Label,Avg Generation Cnt,Trimmed Generation Cnt,Avg Elapsed Time (milliseconds),Trimmed Elapsed Time (milliseconds),Population Size,Tournament Size,Max Generations,Initial Tree Height,Max Tree Height,Mutation Tree Height,Initial Generation Method,Reproduction Method,Input Training Data,Final Fitness Goal,Crossover Probability,Reproduction Probability,Mutation Probability
100,961.26,197.975,2015.63,462.4375,200,6,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,2819.08,923.925,8283.0,3196.4125,200,8,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,3263.73,1954.35,11686.46,7220.725,200,10,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,16.74,11.5125,89.06,57.675,300,4,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,174.56,9.7375,574.92,54.475,300,6,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,557.8,61.6125,2505.05,275.3625,300,8,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,1293.46,264.225,7083.68,1389.8625,300,10,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,10.89,10.3,77.38,70.175,400,4,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,77.12,8.8625,793.0,64.9,400,6,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,449.35,10.6625,2483.22,95.0125,400,8,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,485.43,56.0875,3024.3,468.75,400,10,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,9.75,9.6625,86.74,85.375,500,4,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,65.74,8.3625,375.35,79.25,500,6,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,110.73,8.125,721.68,81.35,500,8,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,391.1,8.0625,3052.28,93.2625,500,10,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,8.43,8.45,84.92,84.4875,600,4,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,9.04,7.4125,114.12,81.325,600,6,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,19.35,7.4375,182.71,91.125,600,8,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,109.79,6.7375,1084.86,94.05,600,10,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,8.51,8.6125,107.46,107.025,700,4,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,7.43,7.1,102.14,97.6125,700,6,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,6.87,6.825,104.16,103.2875,700,8,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,52.28,6.75,583.87,109.55,700,10,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,7.96,8.0375,107.32,108.0625,800,4,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,7.07,6.8625,103.9,101.05,800,6,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,11.39,6.5875,159.62,107.825,800,8,500000,4,10,2,GROW,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
