Generation,Elapsed Time (milliseconds),Elapsed Time (mm:ss.mili),Population Size,Tournament Size,Max Generations,Initial Tree Height,Max Tree Height,Mutation Tree Height,Initial Generation Method,Reproduction Method,Input Training Data,Final Fitness Goal,Crossover Probability,Reproduction Probability,Mutation Probability,Final Fitness,Final Height,Final isValid,First Fitness,First Height,First isValid,Final Tree,First Tree
22,67," 00:00.67 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,8,true,2.246871230069388E10,4,true,((-8+(x--2))*(((x+-4)+-3)+(6+7)))-(((-6*-3)-(1+7))-((((((2*2)-(0--6))*-3)*(((-6/1)-(-7-1))/(-7-(-1/1))))-9)*(-6+2))),(((-8/-7)+(-2+3))/((3*8)/(4/7)))-(((9/-5)*(-9*-2))/((-1/2)*(-4/x)))
11,28," 00:00.28 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,5,true,2.246094573042857E10,4,true,(-6+4)+(1+((-6+4)+(1+(x*x)))),(((2+0)-(2/-8))/((-6*4)-(-3*1)))*(((8*8)+(-1-7))-((x*8)*(8*8)))
52,139," 00:00.139 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,6,true,1.8728394248600002E10,4,true,(-6+(9+-7))+(4+((x*x)-(((0*-2)--8)+-6))),(((4+-7)-(7--4))*((7/-5)-(5--9)))*(((8-7)+(-6-9))*((x*-8)+(8*0)))
9,24," 00:00.24 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,7,true,200958.07625472618,4,true,(9-((-2+5)+(-6-(((9--3)--3)+((x+5)*(x-6))))))+(((8-9)*(2--3))+(0+(x--6))),(((x+2)*(1/x))/((9--9)+(-5-0)))+(((9--3)-(-4-8))+((x+5)*(x-6)))
1770,8011," 00:08.11 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,4,true,2.2385814930687866E10,4,true,((x*x)+((-2/x)*x))-(0*((3-3)-(3/9))),(((-7*3)+(1*-8))/((-1*-3)/(-9*5)))/(((-1/8)-(9/1))/((x*-9)+(-3/-7)))
1252,1676," 00:01.676 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,3,true,2.03462360935E10,4,true,-1+(-1+(x*x)),(((-9*-8)*(-1+4))*((-1*3)*(x*-5)))*(((-6+3)*(0+-1))-((-6/1)/(9--1)))
13,32," 00:00.32 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,4,true,2.24708118105E10,4,true,((0-(2-x))+(x*x))-x,(((-9-7)-(-2--9))*((9*x)/(1/-3)))/(((0-8)+(-3+-5))/((-8/-9)/(-5+-1)))
263,781," 00:00.781 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,3.844732418656349E-6,10,true,1.9591008660356125E10,4,true,((8-(6+x))/((-3/6)*-4))*((((-3-x)+(((-4/6)*-4)*(-3/((((x+x)+8)-6)-6))))+(((x*-3)*(((-4/6)*-4)*(-3/(((x+-4)+8)-6))))*((8*(6+x))*0)))+((6+(-4-x))+-3)),(((-4/-9)-(6+x))/((-3/5)*(-4+-9)))*(((-2-x)+(8+3))+((6+-6)+(-2/2)))
192,723," 00:00.723 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,3,true,2.24434507595E10,4,true,((x*x)-2)/1,(((x+3)*(4-6))+((5*6)/(-9/-9)))*(((-1-2)-(x+-9))+((-9*-6)+(-6--5)))
14,43," 00:00.43 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,4,true,7836222.487604703,4,true,(((0/2)+(x*-1))*((2/2)-(x+1)))-2,(((-5*-8)+(x*-1))*((0/-6)-(x+1)))-(((0+3)-(-1*3))/((1/3)-(8*-5)))
4254,4794," 00:04.794 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,2,true,1.19794064395E10,4,true,(x*x)-2,(((9/-1)*(-4*5))-((-6+-8)*(-8*x)))*(((-5*-5)-(-3+3))+((7*-9)*(5--9)))
23,67," 00:00.67 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,3.958120942115784E-9,10,true,1.2484962998166666E10,4,true,(((x-1)*(5/-5))+((5+-8)--3))*((((5/((x+(1/-1))*((5/(1/-1))+(((5+-8)--3)/((1/-1)+-2)))))+x)/(1/-1))+(1/-1)),(((x-x)+(x+-6))*((4*x)/(4+5)))+(((-6+-2)-(-8/-8))*((-5+3)+(8+6)))
31,116," 00:00.116 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,3.893129321994593E-4,10,true,2.24141087955E10,4,true,(((9-(-1*4))+(-9*-3))*((8*0)-(-4--3)))+(((((((4*(x/4))-((0+-8)+0))*((x*1)+((-2*2)*(-6+8))))+(0+((9-(-1*4))+((-4/2)*-3))))--6)+(0+-3))-(((((1+2)/2)+-1)*(((-4/2)*-3)/((9-(-1*4))+(((4*x)-((0+-8)+(-3/x)))*((x*1)+((8*2)*(-6+8)))))))*(4/(8+(((4*(x/4))-((0+-8)+(-3/x)))*(((-4--3)*1)+((-2*2)*(-6+8)))))))),(((x-2)*(5+7))*((-6--6)+(-8*-3)))-(((-9--8)+(8+4))-((-1*0)/(8-7)))
314,1163," 00:01.163 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,2.3283153183228933E-10,10,true,2.1342403542593914E10,4,true,(-8+((((((x--6)--8)+x)*3)/6)-3))*(((x--6)-(((((((x--6)-(-3+3))--8)+((x--6)-(-3+3)))*3)/6)/((((x-1)--8)+((-6+-8)+3))/((-3+3)-1))))-3),(((3*-5)+(-7+3))*((-2-x)+(4/x)))/(((-7*9)*(4-2))/((1*1)/(-3/x)))
11423,12412," 00:12.412 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,1.1102230246251565E-16,3,true,2.233154306729512E10,4,true,(-4/6)+((-8/6)+(x*x)),(((-8--9)/(x+-2))+((x--7)+(-2*-2)))/(((-6/-7)/(-2+-8))/((0-6)*(-2*-5)))
130,492," 00:00.492 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,5,true,4.5717646414285797E8,4,true,(((4/(x+x))+x)*x)+(((-6--8)--2)+((-6-4)--2)),(((0+-3)*(-8-4))+((-6--2)+(-7+0)))/(((7/-2)/(x+1))/((x+-8)/(-2+-5)))
5055,5569," 00:05.569 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,4.072345561174917E-4,10,true,2.2463351769166668E10,4,true,((((x*x)+(-7/6))+((6/6)/(-7/6)))+((((((-7/-7)/(-7+((-7/-7)/(-7/6))))/8)/6)/8)/((-7/(-7/6))+-7)))+(((-7/6)/(-7+(-7/-9)))/8),(((x*-7)+(-7*5))/((1/-7)*(-8/-7)))-(((-2/9)+(-1*-9))+((-5+9)*(6/-6)))
20,54," 00:00.54 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,4,true,2.244033829E10,4,true,(-3-1)-((-6/(-3--6))-(x*x)),(((9-x)*(-7*9))/((9/-9)-(7/-5)))+(((7*2)/(7/6))*((-1-9)+(-6+1)))
577,2016," 00:02.16 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,3,true,9439518.0,4,true,-1+(-1+(x*x)),(((-7+x)+(-7--1))-((-6/3)-(-4*4)))*(((x-8)-(8-7))+((-7--5)+(-8+-1)))
21,51," 00:00.51 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,8,true,9.987853354E9,4,true,7+(((1-x)--2)*((((x*(5+(x+3)))-(x+3))*(0*6))-(x+3))),(((5-x)-(6--4))-((-4+1)/(1/8)))+(((4-x)*(5/9))*((0*6)-(x+3)))
29,82," 00:00.82 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,6,true,2.1639672245149353E10,4,true,(((((7-x)--9)/(7*-1))--8)*(-1-((5/(0-5))-7)))-((((5/(0-5))-7)/(8*-1))*((7-x)*(x--6))),(((8*x)*(7*-5))/((-4--3)/(6--9)))-(((x-6)*(3/-7))/((0/-4)+(5--6)))
48,158," 00:00.158 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,9.992007221626409E-16,5,true,2.2447854633E10,4,true,(((-7/9)-(x*(-1-x)))+(-1-x))+(-1-(-7/9)),(((-8+-7)+(1--4))/((-7-0)/(-4-3)))*(((-8*-4)-(-3/-2))+((8--4)*(-7-x)))
